,City,Country,Lat,Lng,Temp,Humidity,Wind Speed,Cloudiness
105,ribeira grande,PT,38.52,-28.7,69.8,94,18.34,75
106,matara,LK,5.95,80.54,77.32,87,6.78,88
107,karratha,AU,-20.74,116.85,69.04,81,11.18,0
108,fairbanks,US,64.84,-147.72,5.49,84,2.13,90
109,hermanus,ZA,-34.42,19.23,57.0,76,5.01,0
110,sioux lookout,CA,50.1,-91.92,37.4,93,11.41,90
111,berbera,SO,10.44,45.01,82.85,52,2.91,0
112,manica,FR,49.0,-1.17,50.0,87,8.05,90
113,saskylakh,RU,71.92,114.08,-4.86,84,6.93,2
114,dikson,RU,73.51,80.55,17.89,97,12.21,100
115,nikolskoye,RU,59.7,30.79,36.68,86,3.15,37
116,ibra,OM,22.69,58.53,61.84,34,2.68,0
117,lakselv,NO,70.05,24.97,32.0,93,17.22,100
118,harper,LR,4.38,-7.72,78.06,87,6.49,100
119,aleksandrov gay,RU,50.15,48.57,47.28,53,5.48,32
120,hutchinson,US,38.06,-97.93,68.36,32,10.29,1
121,bahia blanca,AR,-38.72,-62.27,80.28,17,3.24,0
122,hambantota,LK,6.12,81.12,79.29,82,9.91,94
123,poum,NC,-20.23,164.02,77.9,78,22.79,41
124,kahului,US,20.89,-156.47,81.88,55,6.93,20
125,skibbereen,IE,51.55,-9.27,44.6,87,11.41,75
126,tasiilaq,GL,65.61,-37.64,32.0,95,4.7,75
127,mega,ET,4.05,38.3,59.81,90,5.64,61
128,leningradskiy,RU,69.38,178.42,17.89,91,10.13,68
129,comodoro rivadavia,AR,-45.87,-67.5,68.0,56,4.7,0
130,namibe,AO,-15.2,12.15,75.29,69,3.15,37
131,bandarbeyla,SO,9.49,50.81,77.95,83,13.73,49
132,camacha,PT,33.08,-16.33,68.0,88,6.93,20
133,port alfred,ZA,-33.59,26.89,63.54,81,12.97,65
134,taitung,TW,22.76,121.14,71.71,67,9.31,79
135,sangar,RU,63.92,127.47,-14.93,89,2.33,24
136,saint-pierre,RE,-21.34,55.48,62.8,59,3.36,0
137,armizonskoye,RU,55.95,67.67,34.05,90,10.76,100
138,saint george,US,37.1,-113.58,69.22,17,3.36,1
139,mar del plata,AR,-38.0,-57.56,66.2,55,13.87,0
140,hamilton,US,39.18,-84.53,55.9,50,10.29,1
141,biak,ID,-0.91,122.88,76.68,76,4.25,100
142,tura,IN,25.52,90.22,72.03,94,1.59,100
143,ibanda,TZ,-2.8,32.47,68.0,88,1.25,40
144,namie,JP,37.48,141.0,40.42,76,5.95,33
145,taiyuan,CN,37.87,112.56,35.6,64,2.24,0
146,sorong,ID,-0.88,131.25,80.67,83,10.89,94
147,inta,RU,66.03,60.17,33.26,97,16.31,100
148,taltal,CL,-25.4,-70.48,64.9,53,7.85,76
149,great yarmouth,GB,52.61,1.73,49.08,99,4.0,14
150,osmena,PH,10.52,119.93,80.28,83,5.5,100
151,taebla,EE,58.95,23.74,41.0,95,3.0,9
152,devonport,AU,-41.17,146.35,49.55,96,8.14,4
153,fukue,JP,32.69,128.84,68.34,58,12.5,13
154,chokurdakh,RU,70.63,147.92,-4.67,92,7.9,98
155,paka,MY,4.64,103.44,77.0,100,2.24,52
156,tagusao,PH,9.19,117.81,78.62,80,5.32,98
157,carcasi,CO,6.63,-72.63,64.56,76,2.53,98
158,luanda,AO,-8.84,13.23,78.8,83,9.17,75
159,uchana,IN,29.47,76.17,64.81,23,4.68,0
160,kunashak,RU,55.7,61.55,44.6,86,11.18,20
161,inhambane,MZ,-23.86,35.38,75.09,78,6.93,40
162,el paso,US,31.8,-106.2,69.98,32,3.83,1
163,lanzhou,CN,36.06,103.79,43.0,48,3.53,100
164,gamba,GA,-2.65,10.0,77.25,90,5.53,75
165,katubao,PH,5.89,124.83,78.21,83,7.54,100
166,tutoia,BR,-2.76,-42.27,82.31,77,13.6,46
167,awjilah,LY,29.11,21.29,69.53,55,8.75,95
168,marsa matruh,EG,31.35,27.25,71.6,60,5.82,20
169,garowe,SO,8.41,48.48,77.09,59,12.77,11
170,swinoujscie,PL,53.91,14.25,52.97,100,1.01,94
171,csorvas,HU,46.63,20.83,43.23,93,5.82,0
172,roald,NO,62.58,6.13,53.6,46,12.75,0
173,katherine,AU,-14.47,132.27,82.4,58,8.05,0
174,mahebourg,MU,-20.41,57.7,66.2,82,5.82,40
175,dandong,CN,40.13,124.39,47.34,90,3.85,38
176,miraflores,MX,19.22,-98.81,74.3,31,9.17,40
177,eureka,US,40.8,-124.16,56.82,93,3.36,90
178,port lincoln,AU,-34.73,135.87,53.94,86,11.88,2
179,lerwick,GB,60.15,-1.15,51.8,76,40.26,100
180,avarua,CK,-21.21,-159.78,75.2,78,10.29,100
181,koping,SE,59.51,15.99,46.26,87,2.24,90
182,lebu,CL,-37.62,-73.65,59.23,69,8.93,0
183,krasnokamensk,RU,50.1,118.04,24.22,96,10.36,100
184,bull savanna,JM,17.89,-77.59,81.93,74,1.23,90
185,castro,BR,-24.79,-50.01,58.19,82,8.77,91
186,crossville,US,35.95,-85.03,60.1,48,4.7,1
187,akyab,MM,20.15,92.9,78.6,86,5.61,98
188,usolye,RU,59.43,56.68,33.01,100,9.93,100
189,hithadhoo,MV,-0.6,73.08,83.61,70,7.9,100
190,aykhal,RU,66.0,111.5,1.4,84,2.24,0
191,villeneuve-sur-lot,FR,44.5,0.67,56.05,100,3.36,99
192,longyearbyen,SJ,78.22,15.64,24.8,73,11.41,75
193,atar,MR,20.52,-13.05,89.37,13,10.13,0
194,severo-kurilsk,RU,50.68,156.12,42.76,74,20.58,97
195,puerto baquerizo moreno,EC,-0.9,-89.6,77.0,73,11.41,75
196,russell,US,32.35,-85.2,69.15,46,8.05,75
197,alta floresta,BR,-9.88,-56.09,88.59,51,3.58,100
198,grand gaube,MU,-20.01,57.66,64.99,77,1.99,11
199,dingle,PH,11.0,122.67,75.74,83,4.14,100
200,los llanos de aridane,ES,28.66,-17.92,77.0,33,9.17,0
201,pimentel,PE,-6.84,-79.93,71.6,60,12.75,0
202,itarema,BR,-2.92,-39.92,81.81,74,15.46,100
203,benjamin constant,BR,-4.38,-70.03,77.86,83,0.63,75
204,mount isa,AU,-20.73,139.5,69.8,24,6.93,0
205,the pas,CA,53.83,-101.25,21.2,73,21.92,75
206,gaoua,BF,10.3,-3.25,81.99,28,2.24,0
207,san,ML,13.3,-4.9,84.76,16,6.31,0
208,khatanga,RU,71.97,102.5,-6.93,87,8.19,9
209,umm lajj,SA,25.02,37.27,78.78,72,3.56,0
210,cayenne,GF,4.93,-52.33,84.2,74,14.99,98
211,ukiah,US,39.15,-123.21,76.8,13,3.15,1
212,san policarpo,PH,12.18,125.51,79.05,87,16.35,100
213,makakilo city,US,21.35,-158.09,79.48,74,4.83,20
214,port-gentil,GA,-0.72,8.78,80.6,83,12.75,40
215,ashtian,IR,34.52,50.0,44.19,60,4.56,0
216,ranong,TH,9.97,98.63,77.83,82,0.6,96
217,mackay,AU,-21.15,149.2,67.6,94,5.68,0
218,saint-joseph,RE,-21.37,55.62,65.59,59,3.36,0
219,khowai,IN,24.1,91.63,73.89,91,2.8,99
220,umea,SE,63.83,20.26,41.9,100,4.7,90
221,ipixuna,BR,-1.76,-48.8,87.8,70,11.41,40
222,kerema,PG,-7.96,145.78,76.82,87,4.23,9
223,zhezkazgan,KZ,47.8,67.71,38.55,64,7.18,0
224,kennewick,US,46.21,-119.14,55.11,42,1.97,40
225,fortuna,US,40.6,-124.16,60.96,72,8.05,20
226,malabo,GQ,3.75,8.78,75.2,100,7.72,20
227,ondjiva,AO,-17.07,15.73,80.06,40,3.53,3
228,jiazi,CN,22.88,116.07,67.1,77,12.21,69
229,aksarka,RU,66.56,67.8,28.08,96,13.98,0
230,cam ranh,VN,11.92,109.16,80.6,88,13.87,40
231,matveyevka,RU,52.15,56.18,41.0,65,8.95,0
232,ilhabela,BR,-23.78,-45.36,68.16,87,10.11,100
233,abu kamal,SY,34.45,40.92,66.22,25,7.34,0
234,avera,US,33.19,-82.53,62.4,59,11.41,90
235,insar,RU,53.87,44.37,42.04,87,6.89,91
236,rocha,UY,-34.48,-54.33,61.59,72,8.7,6
237,hasaki,JP,35.73,140.83,42.8,100,2.24,20
238,shu,KZ,43.6,73.76,42.01,39,5.99,1
239,leeuwarden,NL,53.2,5.81,55.0,88,4.0,100
240,yatou,CN,37.15,122.38,57.51,77,7.9,91
241,auburn,US,47.31,-122.23,52.03,58,5.82,40
242,galveston,US,29.37,-94.97,72.03,53,8.05,1
243,shillong,IN,25.57,91.88,60.53,100,0.96,100
244,vardo,NO,70.37,31.11,36.0,85,12.37,100
245,kutum,SD,14.2,24.67,76.82,27,14.14,50
246,carnarvon,AU,-24.87,113.63,68.0,88,8.05,40
247,luba,GQ,3.46,8.55,75.2,100,3.15,20
248,kudahuvadhoo,MV,2.67,72.89,82.87,73,6.69,72
249,north vernon,US,39.01,-85.62,59.34,50,1.01,1
250,dasoguz,TM,41.84,59.97,41.0,48,9.17,9
251,gimli,CA,50.63,-96.99,27.23,79,16.11,100
252,vaitape,PF,-16.52,-151.75,79.97,72,19.17,0
253,kodiak,US,57.79,-152.41,33.8,55,3.36,1
254,bowen,AU,-20.02,148.23,66.2,93,3.36,0
255,abdanan,IR,32.99,47.42,51.84,52,1.1,0
256,kamenka,RU,51.32,42.77,48.92,92,10.29,100
257,san patricio,US,28.02,-97.52,76.51,44,4.7,40
258,wukari,NG,7.85,9.78,80.15,63,6.51,84
259,nichinan,JP,31.6,131.37,63.19,83,6.98,67
260,kitimat,CA,54.05,-128.65,42.01,95,4.94,100
261,juba,SS,4.85,31.58,76.41,74,0.85,29
262,mehamn,NO,71.04,27.85,36.14,91,12.46,100
263,asyut,EG,27.18,31.18,75.2,64,13.87,0
264,tiarei,PF,-17.53,-149.33,84.2,66,6.93,20
265,san lawrenz,MT,36.06,14.2,64.06,88,4.7,0
266,isangel,VU,-19.55,169.27,76.57,74,16.31,81
267,cabedelo,BR,-6.98,-34.83,82.4,74,11.41,40
268,ivankiv,UA,50.94,29.89,48.09,100,8.95,90
269,vostok,RU,46.49,135.88,34.48,96,5.06,100
270,coos bay,US,43.37,-124.22,61.9,62,3.36,1
271,lloydminster,CA,53.28,-110.0,30.2,80,11.41,75
272,tessalit,ML,20.2,1.01,80.53,16,9.73,11
273,phuthaditjhaba,ZA,-28.52,28.82,53.46,83,8.7,100
274,ouahigouya,BF,13.58,-2.42,86.45,15,7.0,0
275,fukuma,JP,33.77,130.47,54.21,71,4.7,6
276,ogbomosho,NG,8.13,4.25,82.4,58,5.82,0
277,grosuplje,SI,45.96,14.66,47.14,93,2.24,99
278,malkapur,IN,20.88,76.2,73.33,49,2.46,0
279,shihezi,CN,44.3,86.03,37.47,71,3.51,0
280,dickinson,US,29.46,-95.05,72.0,40,4.7,1
281,jijiga,ET,9.35,42.8,60.42,84,3.96,1
282,asau,RO,46.43,26.4,42.01,87,4.59,74
283,jalu,LY,29.03,21.55,69.44,54,9.22,67
284,pochutla,MX,15.74,-96.47,87.91,62,9.17,40
285,rio branco do sul,BR,-25.19,-49.31,56.77,82,12.75,75
286,jutai,BR,-5.18,-68.9,75.97,85,1.05,100
287,aberdeen,GB,57.14,-2.1,49.71,76,23.04,56
288,york,US,40.13,-77.0,46.44,54,10.29,90
289,farkhor,TJ,37.49,69.4,47.19,75,4.47,0
290,mount gambier,AU,-37.83,140.77,42.8,93,2.86,75
291,hobyo,SO,5.35,48.53,81.34,76,10.25,100
292,saint-augustin,CA,51.23,-58.65,31.68,76,10.65,0
293,ponta do sol,PT,32.67,-17.1,70.48,73,8.05,20
294,samarai,PG,-10.62,150.67,80.71,82,8.7,99
295,celestun,MX,20.87,-90.4,79.3,79,12.46,62
296,ulaangom,MN,49.98,92.07,25.0,92,0.85,0
297,misratah,LY,32.38,15.09,70.09,68,11.1,26
298,castro verde,PT,37.7,-8.09,66.2,68,6.93,0
299,wuwei,CN,37.93,102.64,39.6,60,2.93,100
300,manokwari,ID,-0.87,134.08,80.67,72,6.6,100
301,at-bashi,KG,41.17,75.81,28.18,60,4.97,0
302,cuamba,MZ,-14.8,36.54,76.6,55,5.39,97
303,saint-philippe,RE,-21.36,55.77,62.71,59,3.36,0
304,helong,CN,42.54,129.0,40.77,81,6.24,0
305,vanimo,PG,-2.67,141.3,77.61,82,6.2,22
306,utica,US,43.1,-75.23,40.96,59,1.99,0
307,kargasok,RU,59.06,80.86,31.96,97,10.83,99
308,rupert,US,42.62,-113.68,52.77,40,10.29,1
309,palmas,BR,-10.21,-48.36,84.2,70,16.11,40
310,rumford,US,44.55,-70.55,41.67,35,1.99,0
311,senno,RU,59.53,33.92,35.17,93,4.56,9
312,rio cuarto,AR,-33.13,-64.35,78.44,26,23.04,0
313,usinsk,RU,65.99,57.53,33.4,93,19.1,98
314,ismailia,EG,30.6,32.27,70.61,70,7.78,15
315,dunmore town,BS,25.5,-76.65,81.43,79,15.86,0
316,neapolis,IT,40.83,14.25,59.61,93,3.36,0
317,nador,MA,35.17,-2.93,61.77,82,2.19,0
318,muroto,JP,33.28,134.15,66.74,63,9.91,77
319,hajnowka,PL,52.74,23.58,46.0,84,2.75,0
320,anajatuba,BR,-3.26,-44.62,87.17,53,9.42,100
321,homer,US,59.64,-151.55,24.21,45,8.05,1
322,pisco,PE,-13.7,-76.22,69.1,64,14.99,0
323,houma,US,29.6,-90.72,72.75,56,1.3,1
324,imeni poliny osipenko,RU,52.42,136.49,32.43,98,3.13,100
325,manzil salim,TN,35.86,8.48,55.4,47,4.7,0
326,naliya,IN,23.27,68.83,80.1,34,5.08,2
327,svetlyy,RU,54.67,20.13,46.18,93,4.47,90
328,cardston,CA,49.2,-113.3,49.39,29,18.34,48
329,lazarev,RU,52.23,141.51,40.71,85,17.78,100
330,sarakhs,IR,36.54,61.16,50.0,29,3.22,0
331,zaysan,KZ,47.47,84.87,31.78,90,2.24,0
332,vao,NC,-22.67,167.48,73.31,81,14.76,10
333,dali,CN,25.7,100.18,57.51,87,4.72,45
334,nishihara,JP,26.18,127.76,73.58,60,13.87,20
335,digha,IN,21.68,87.55,76.84,84,6.98,95
336,hualmay,PE,-11.1,-77.61,68.04,67,9.55,86
337,iqaluit,CA,63.75,-68.51,19.4,73,16.11,75
338,waingapu,ID,-9.66,120.26,79.79,74,3.24,100
339,kulhudhuffushi,MV,6.62,73.07,82.51,72,7.94,21
340,vila franca do campo,PT,37.72,-25.43,69.8,94,17.22,75
341,polonne,UA,50.12,27.51,44.78,88,12.71,100
342,alpena,US,45.06,-83.43,46.13,45,16.11,1
343,alvdal,NO,62.11,10.63,37.4,83,11.41,100
344,touros,BR,-5.2,-35.46,84.2,70,14.99,40
345,kytmanovo,RU,53.46,85.45,31.68,99,6.69,100
346,ambilobe,MG,-13.2,49.05,72.21,62,6.15,49
347,kisangani,CD,0.52,25.2,71.67,89,1.63,33
348,dunhua,CN,43.37,128.24,40.1,86,9.26,8
349,voh,NC,-20.97,164.7,77.5,69,6.82,8
350,brae,GB,60.4,-1.35,51.8,76,40.26,100
351,ancud,CL,-41.87,-73.82,68.29,55,9.17,0
352,honiara,SB,-9.43,159.95,79.97,77,2.73,1
353,volksrust,ZA,-27.37,29.88,54.0,94,5.99,100
354,calvia,ES,39.57,2.51,59.34,87,2.24,6
355,paso de los toros,UY,-32.82,-56.52,71.6,35,6.93,75
356,shache,CN,38.42,77.24,34.41,78,3.4,0
357,krasnovishersk,RU,60.41,57.08,32.63,95,10.58,100
358,hami,CN,42.8,93.45,38.08,64,6.08,0
359,portland,US,45.52,-122.68,53.17,58,8.05,1
360,kyaukse,MM,21.6,96.13,75.2,94,2.24,75
361,nchelenge,ZM,-9.35,28.73,75.99,66,6.73,19
362,beroroha,MG,-21.67,45.17,74.64,42,5.48,0
363,lora del rio,ES,37.66,-5.53,66.24,72,1.12,0
364,arinos,BR,-15.92,-46.11,75.87,80,7.4,100
365,alice springs,AU,-23.7,133.88,66.2,29,9.17,82
366,faya,SA,18.39,42.45,63.5,82,2.84,0
367,vestmannaeyjar,IS,63.44,-20.27,42.8,75,10.29,20
368,airai,TL,-8.93,125.41,59.59,69,2.46,3
369,muros,ES,42.78,-9.06,63.0,92,15.99,100
370,srednekolymsk,RU,67.45,153.68,5.36,95,2.84,100
371,westport,US,41.14,-73.36,44.96,45,3.36,1
372,baruun-urt,MN,46.68,113.28,22.41,85,11.65,0
373,wyszkow,PL,52.59,21.46,45.34,84,4.41,51
374,byron bay,AU,-28.65,153.62,59.94,87,8.32,0
375,hue,VN,16.47,107.6,78.8,88,8.05,75
376,raudeberg,NO,61.99,5.14,57.2,44,27.51,68
377,tame,CO,6.46,-71.73,83.73,73,6.08,100
378,bose,IT,45.46,8.01,52.03,91,1.01,29
379,saint-francois,FR,46.42,3.91,49.5,100,4.7,64
380,ayan,RU,56.45,138.17,25.86,93,12.37,100
381,ahipara,NZ,-35.17,173.17,64.92,89,3.24,28
382,nizhniy baskunchak,RU,48.22,46.83,51.84,44,7.02,58
383,wanning,CN,18.8,110.4,71.67,87,8.7,8
384,naze,JP,28.37,129.48,73.4,73,10.29,75
385,seoul,KR,37.57,126.98,56.14,71,8.21,90
386,tarko-sale,RU,64.92,77.78,29.52,98,16.46,100
387,salalah,OM,17.02,54.09,77.0,33,3.36,0
388,mizque,BO,-17.94,-65.34,69.93,41,12.57,90
389,havelock,US,34.88,-76.9,63.12,52,13.87,1
390,phra phutthabat,TH,14.73,100.8,76.91,88,6.64,67
391,maceio,BR,-9.67,-35.74,84.2,66,16.11,20
392,parana,AR,-31.73,-60.52,80.73,26,8.88,0
393,sola,VU,-13.88,167.55,81.3,80,21.03,63
394,rio grande,BR,-32.03,-52.1,67.78,52,13.87,40
395,emilio carranza,MX,19.97,-96.61,76.95,61,9.42,2
396,saint anthony,US,45.02,-93.22,54.43,54,11.41,20
397,itaituba,BR,-4.28,-55.98,93.2,49,3.0,20
398,henties bay,NA,-22.12,14.28,55.99,90,1.01,79
399,kondinskoye,RU,59.65,67.41,35.19,94,10.69,100
400,halifax,CA,44.65,-63.57,41.92,38,6.93,0
401,yumen,CN,40.28,97.2,34.57,69,13.73,0
402,zorritos,PE,-3.68,-80.68,82.4,69,10.67,40
403,kapchorwa,UG,1.4,34.45,59.65,78,3.2,97
404,ilulissat,GL,69.22,-51.1,19.4,73,6.93,75
405,broken hill,AU,-31.95,141.43,51.8,81,8.05,0
406,mantamados,GR,39.31,26.33,60.91,48,5.82,0
407,ornskoldsvik,SE,63.29,18.72,41.0,100,2.24,94
408,abadan,IR,30.34,48.3,69.8,37,2.24,0
409,tazovskiy,RU,67.47,78.7,33.19,98,11.05,100
410,medea,DZ,36.26,2.75,57.2,93,2.28,20
411,talcahuano,CL,-36.72,-73.12,57.2,82,13.87,75
412,necochea,AR,-38.55,-58.74,65.61,50,6.82,0
413,blackfoot,US,43.19,-112.34,52.38,40,3.0,0
414,kruisfontein,ZA,-34.0,24.73,62.01,82,6.76,85
415,diofior,SN,14.18,-16.67,85.78,46,6.26,0
416,okhotsk,RU,59.38,143.3,15.21,86,13.04,2
417,dubbo,AU,-32.25,148.62,48.2,100,3.33,0
418,okhtyrka,UA,50.31,34.9,50.16,91,11.45,100
419,samarinda,ID,-0.5,117.15,72.84,95,2.71,100
420,praia,CV,14.92,-23.51,77.0,78,19.46,75
421,bukachacha,RU,52.98,116.92,21.52,92,3.85,100
422,nadym,RU,65.53,72.52,29.17,97,11.56,100
423,abbeville,FR,50.1,1.83,53.47,83,8.97,57
424,ramos arizpe,MX,25.55,-100.97,73.4,38,5.82,5
425,paita,PE,-5.09,-81.11,73.4,69,12.75,0
426,souillac,MU,-20.52,57.52,66.2,82,5.82,40
427,lagoa,PT,39.05,-27.98,68.76,91,23.67,31
428,astana,KZ,51.18,71.45,17.6,92,2.24,75
429,rafaela,AR,-31.25,-61.49,77.83,16,3.0,0
430,gat,IL,31.61,34.76,71.98,100,2.39,2
431,macas,EC,-2.32,-78.12,77.0,69,9.17,75
432,juneau,US,58.3,-134.42,38.84,87,23.04,90
433,hirara,JP,24.8,125.28,76.86,75,24.16,6
434,mana,GF,5.66,-53.78,84.56,71,13.0,85
435,perry,US,37.25,-83.2,60.8,38,3.36,1
436,saldanha,ZA,-33.01,17.94,59.0,67,6.93,0
437,narsaq,GL,60.92,-46.05,23.0,73,1.07,40
438,alofi,NU,-19.06,-169.92,75.2,94,13.87,52
439,pancas,BR,-19.23,-40.85,69.37,96,4.65,100
440,lasa,IT,46.62,10.7,44.6,40,3.36,0
441,karaton,ID,-6.34,106.1,78.22,94,2.24,40
442,puri,IN,19.8,85.85,77.0,88,7.7,20
443,picota,PE,-6.92,-76.33,82.4,69,5.82,75
444,golfito,CR,8.64,-83.17,79.86,85,4.23,100
445,tabuk,PH,17.42,121.44,69.39,83,6.31,100
446,brenham,US,30.17,-96.4,72.84,40,5.5,1
447,tarata,BO,-17.62,-66.02,80.6,26,13.87,20
448,wollongong,AU,-34.43,150.88,60.03,87,7.0,99
449,redlands,US,34.06,-117.18,88.32,7,2.53,5
450,khasan,RU,42.43,130.64,49.8,64,5.19,80
451,nizhniy odes,RU,63.64,54.86,32.09,96,8.79,98
452,mayo,US,38.89,-76.51,48.42,61,1.81,90
